Processing [results/profiling_speculative_qwen3_1p7b_k4/nsys_spec_qwen3_1p7b_k4_p4096_g128.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/nvtx_kern_sum.py](base)... 
NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:spec_target_corrective,PushPop,644708,644708,10,8750,22816683,2607.6,2592.0,1792,4064,400.9,vectorized_elementwise_kernel
:spec_target_corrective,PushPop,644708,644708,10,4330,17241930,3982.0,3904.0,2784,5248,616.5,elementwise_kernel
:spec_target_corrective,PushPop,644708,644708,10,720,8586956,11926.3,12192.0,10272,13888,693.6,kernel
:spec_target_corrective,PushPop,644708,644708,10,10,8526827,852682.7,852798.0,847774,857821,2883.8,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
:spec_target_corrective,PushPop,644708,644708,10,1460,8199465,5616.1,5920.0,4512,6880,589.6,reduce_kernel
:spec_target_corrective,PushPop,644708,644708,10,1470,7616739,5181.5,5376.0,2528,6112,600.7,unrolled_elementwise_kernel
:spec_target_corrective,PushPop,644708,644708,10,360,7010757,19474.3,20672.0,15872,21792,2067.5,flash_fwd_splitkv_kernel
:spec_target_corrective,PushPop,644708,644708,10,360,3763638,10454.5,11040.0,8096,11872,1195.7,flash_fwd_splitkv_combine_kernel
:spec_target_corrective,PushPop,644708,644708,10,10,44160,4416.0,4576.0,3584,4896,493.7,indexSelectSmallIndex
:spec_target_corrective,PushPop,644708,644708,10,10,37791,3779.1,3967.5,3136,4128,409.9,CatArrayBatchedCopy_alignedK_contig
:spec_target_corrective,PushPop,644708,644708,10,10,28320,2832.0,2944.0,2272,3136,328.9,gemmk1_kernel
:spec_target_corrective,PushPop,644708,644708,10,10,20960,2096.0,2192.0,1664,2304,248.0,elementwise_kernel_with_index
:spec_target_prefill,PushPop,644708,644708,1,217,196900479,907375.5,519647.0,207103,17810419,1315853.1,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn
:spec_target_prefill,PushPop,644708,644708,1,36,58858601,1634961.1,1489948.0,1485500,1891483,194027.2,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn
:spec_target_prefill,PushPop,644708,644708,1,730,38592263,52866.1,16927.5,2080,216160,57153.1,vectorized_elementwise_kernel
:spec_target_prefill,PushPop,644708,644708,1,578,35985601,62258.8,78079.5,9376,107871,34720.9,elementwise_kernel
:spec_target_prefill,PushPop,644708,644708,1,36,31850769,884743.6,821598.0,777246,1053917,103271.5,flash_fwd_kernel
:spec_target_prefill,PushPop,644708,644708,1,147,11808736,80331.5,95232.0,5120,111743,34610.7,unrolled_elementwise_kernel
:spec_target_prefill,PushPop,644708,644708,1,145,9198662,63439.0,42656.0,11680,155648,42845.1,CatArrayBatchedCopy
:spec_target_prefill,PushPop,644708,644708,1,146,8229099,56363.7,68351.0,6016,75552,22669.7,reduce_kernel
:spec_target_prefill,PushPop,644708,644708,1,1,27296,27296.0,27296.0,27296,27296,0.0,vectorized_gather_kernel
:spec_target_prefill,PushPop,644708,644708,1,1,5952,5952.0,5952.0,5952,5952,0.0,ampere_sgemm_128x32_nn
:spec_target_prefill,PushPop,644708,644708,1,1,2560,2560.0,2560.0,2560,2560,0.0,elementwise_kernel_with_index
:spec_target_verify,PushPop,644708,644708,40,1440,421524567,292725.4,297408.0,234559,300544,16080.4,fmha_cutlassF_bf16_aligned_64x128_rf_sm80
:spec_target_verify,PushPop,644708,644708,40,28968,349425565,12062.5,4736.0,2656,82752,22365.3,elementwise_kernel
:spec_target_verify,PushPop,644708,644708,40,2920,258009271,88359.3,77632.0,74144,869693,91229.4,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
:spec_target_verify,PushPop,644708,644708,40,4320,210423639,48709.2,31648.0,28640,86496,24690.9,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
:spec_target_verify,PushPop,644708,644708,40,5800,154411825,26622.7,7680.0,3680,49824,19706.1,CatArrayBatchedCopy
:spec_target_verify,PushPop,644708,644708,40,33528,92726329,2765.6,2688.0,1696,4576,371.7,vectorized_elementwise_kernel
:spec_target_verify,PushPop,644708,644708,40,5800,41630273,7177.6,6592.0,4448,9216,1438.9,reduce_kernel
:spec_target_verify,PushPop,644708,644708,40,5880,33730683,5736.5,5760.0,2336,6400,471.9,unrolled_elementwise_kernel
:spec_target_verify,PushPop,644708,644708,40,2880,33551252,11649.7,11680.0,9952,13344,458.7,Kernel2
:spec_target_verify,PushPop,644708,644708,40,2880,10089257,3503.2,3520.0,2720,3680,218.1,splitKreduce_kernel
:spec_target_verify,PushPop,644708,644708,40,40,366751,9168.8,9344.0,7040,9440,583.9,index_elementwise_kernel
:spec_target_verify,PushPop,644708,644708,40,160,351100,2194.4,2240.0,1632,2368,154.6,elementwise_kernel_with_index
:spec_target_verify,PushPop,644708,644708,40,40,236959,5924.0,5696.0,4768,7360,562.9,indexSelectSmallIndex
:spec_target_verify,PushPop,644708,644708,40,40,122784,3069.6,3136.0,2400,3264,182.4,gemmk1_kernel

